"Reference";"Qty";"Value";"Footprint"
"C1,C2,C3,C4";"4";"10uF";"Capacitor_THT:CP_Radial_D5.0mm_P2.00mm"
"C5,C6,C8,C9,C10,C11";"6";"100nF";"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"
"C7";"1";"1000uF";"Capacitor_THT:CP_Radial_D8.0mm_P5.00mm"
"D1";"1";"LED Rojo 5mm";"LED_THT:LED_D5.0mm"
"D2,D3";"2";"MV5439A";"LED_THT:LED_D5.0mm-3"
"J1";"1";"TBP01R1-508-02BE";"TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal"
"J2";"1";"DB9 Hembra Impreso 90°";"Connector_Dsub:DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm"
"J3";"1";"U.FL IPEX1 MALE";"Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical"
"J4";"1";"SMA-J-P-X-RA-TH1";"SMA_J_P_H_RA_TH1:SAMTEC_SMA-J-P-X-RA-TH1"
"J5";"1";"Jack DC 2.1mm PCB recto";"Connector_BarrelJack:BarrelJack_CUI_PJ-102AH_Horizontal"
"JP1,JP2,JP3,JP4,JP5,JP6";"6";"Jumper_2_Open";"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"JP7";"1";"Config/Normal";"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"Q1,Q4";"2";"BSS138";"Package_TO_SOT_SMD:SOT-23"
"Q2,Q3";"2";"FDN340P";"Package_TO_SOT_SMD:SOT-23"
"R1";"1";"2K2";"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R2,R4,R9,R13";"4";"4K7";"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R3,R5,R8,R10";"4";"10K";"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R6,R11";"2";"100K";"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R7,R12";"2";"1K";"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R14,R16";"2";"220";"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R15,R17";"2";"150";"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"U1";"1";"MAX232";"Package_SO:SOIC-16_3.9x9.9mm_P1.27mm"
"U2";"1";"24LC512";"Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"
"U3";"1";"BKP-A7670SA (Módulo SIMCOM)";"Damian_PCB:SimCom_A7670SA"
"U4";"1";"MAX706";"Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"
"U5";"1";"Black_Pill_STM32F411CEUx";"Damian_PCB:Black_Pill_STM32F411"
"U6";"1";"LM2596S_Modulo_Regulable";"Damian_PCB:Modulo Step Down Regulable LM2596"
"U7";"1";"LM7805_TO220";"Package_TO_SOT_THT:TO-220-3_Vertical"
